,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
0,知名歌手的老師 幫你歌聲大改造,4.88,50,208,2261,2200,"Mr. Voice 獨有的發聲基本功全部給你！
歌唱思維入門訓練，達到：發聲變輕鬆、聲音張力音量增強、聲音穩定度提升、長音氣息足夠的效果","['注重心法，但技巧面較少', '效果不明顯', '意外有效!!', '很棒的課程', '非常受用的唱歌教學', '穩定的聲音來自穩定的心', '感恩的心', '謝謝老師', '蠻特別的教法，主要以心法為主。', '謝謝', '內容精闢 ', '課程回饋', '课程非常细致有帮助 对于声音连接以及力量 实际演唱非常有作用', '歌聲改造', '不錯', '很棒的課程', '真的超級好', '適合初學者的歌唱基礎練習', '歌聲大改造', '老師語速太慢，重複的概念講過多次', '值得仔細回味的一門課', '顛覆了以前的認知', '很實用 謝謝老師', '一個月勝過過去的10年', '謝謝威宇老師', '實用的課程', '很實用', '謝謝上帝讓我存錢買到這門課程，希望可以學到唱好歌的方法，最重要的是可以飆高音~~', '實用', '此課程適合所有喜歡唱歌的人!!!!!', '上完課覺得唱歌比以前看書學的好聽', '很棒的課程', '非常實用的課堂', '非常實用', '一套簡單易理解卻非常實用的歌唱技巧訓練', '心得', '非常實用', '非常物超所值、專業的課程', '完業啦～', '非常期待最后的结果', '非一般的歌唱教學的課程', '很棒要多練習', '受益良多 感謝老師的教學', '很棒的課程', '上完課.自己唱歌比較好聽', '受益良多', '很棒的課程', '幫助了唱歌上身心的放鬆', '這歌教學真的很棒耶，非常純粹好學!!!', '誠心感謝老師的課程指導']","['心法的教學內容很特別，強調不要讓自己的主觀認知去影響聲音，而是透過基本功+歌唱思維的改變，自然而然地發出聲音，這部分算是顛覆以前的認知，還滿有收穫的。\n但也期望看到一些基本技巧面的教學，像是節拍、音色、氣息控制、情感表達、抖音、轉音、強假音、混音...等等。', '如標題', '之前約好跟朋友去KTV，因為是疫情以來第一次去唱歌，怕唱不好所以約去唱歌的前一周買了課程惡補唱歌技巧，本來稍微高音就會走音的我竟然能跟女友合唱涼涼，高音直接拉上去不用用假音!\n\n強力推薦喔!', '雖然重點不多，好像不夠豐富，但其實都是重中之重的關鍵要素，先看過一遍了，之後一步步的把基本功練起來吧！期待新的課程！', '很開心有這個機會跟老師一起學習，同時讓我在唱歌時不再需要用力過度，兼具心靈跟愛的課程，讓我一生受用', '看各式影片自學了一段時間\n一直抓不到最重要最基本可以穩定聲音的秘密\n原來就在這裡\n\n這是CP值很高的一門課程\n相信自己\n照老師說的練習\n不要急 不要慌  用安穩開放的心持續下去\n一段時間會有效果出來', '對我的歌唱發聲幫助相當巨大，尤其是感受舌尖的觸感，分散緊張的肌肉注意，謝謝這門課程，謝謝老師', '內容非常實用', '發聲的方式可以明顯感受到喉嚨變輕鬆。', '跟原本想像中的不太一樣，滿強調心法的重要性。', '內容精闢 受益良多', '老師耐心又專業，學到很多。', '威宇老师讲解非常细致 简洁有力的课程设计 内容以人作为出发点 个人练习过很多体系的内容 练声如果不以表达为目的 实际上练声再好也离实际演唱有相当大的距离 很多的教学都忽略了以人的发声动机以及情绪驱动作为出发点 而这套课程对于实际演唱 调整发声习惯 音域扩展 以及力量提升 都会有明显的效果 实际加强了口咽腔肌肉 声带 气流的整体配合以及发声的协调性 歌唱思维的练习 也是告诉了练习的人在发声过程中实际需要的专注的想法 方法步骤明确 对唱歌这件事有追求的朋友 或者刻苦练习遇到瓶颈的同学 选择这套课程一定会对你有意想不到的提升哦', '初期練基本功因不熟悉會覺得辛苦，但練熟後會是內化實用又紮實的課程。', '沒學過相關課程，挺有趣的。', '原本我是講話會很費力，而且聲音很小聲的人\n練習的第一天，看了10個單位，逐步練習\n發現今天說話整個很輕鬆\n唱歌音高也提升不少\n很棒的課程\n會想要每天練下去！\n', '受益良多', '本門課程會花10幾分鐘的時間教導歌唱的基礎練習，非常適合給不懂歌唱或是想學歌唱基礎的人練習，但是對於已經熟練歌唱的人或習慣快節奏教學的人並不推薦。', '淺顯易懂，但是顛覆了我對唱歌技巧的看法，收穫很多，謝謝', '明白老師希望不斷重複提醒同學幾個重要概念，但是整堂課程重複提到太多次，200分鐘的課程有一半以上都是重複的訊息。線上課程畢竟與實體課程不同，未來老師若要開設其他課程希望夠改進這點，簡短快速的表達練習重點即可。', '某天唱KTV的時候\n原本難唱的歌變好唱了\n原本唱不上去的音，唱到了\n原本氣流不順的地方也都改善了\n\n原來我已經進步了\n「專注默念指令」就像是跟自己的潛意識溝通\n不斷練習就能更上一層樓。\n\n謝謝威宇老師的教導\n', '感謝老師！從來不知道原來自己唱歌的狀態是有問題的，目前慢慢依照老師的方式改變、練習新的思維，希望自己越來越進步', '很實用 謝謝老師 繼續基本功的練習', '當你打從思維開始修正\n加上適當的練習\n聲音不再虛，假音變厚實\n\n這是一門值得你投資自己的課程', '上過威宇老師的實體課，線上課程可以重複的複習，不怕忘記！真的很方便！\n課程內容豐富，而且非常有感，提升歌唱技巧真的有效！', '透過課程當中的方法練習，可以有效地讓唱歌更輕鬆，非常棒！', '很棒的歌唱課程!', '謝謝上帝讓我存錢買到這門課程，希望可以學到唱好歌的方法，最重要的是可以飆高音~~', '我以為唱歌是天生的，原來可以練習。', '從一開始到最後的教學都讓我驚豔，\n沒想到原來唱歌前需要做那麼多的前置準備，以及更多時間的練習基礎、技巧，還有給自己更多的時間去感受自己的變化。\n謝謝老師開了新的一扇窗，讓我也更注意自己的嘴巴、舌頭、喉嚨等部位，想要讓他們更能放鬆的應用不同技巧!\n老師也會陪著學生一起練習(我想拍攝影片時候感覺很尷尬?哈哈哈)但我真的覺得老師就在前面一對一的練習QQ\n感受到老師用心的準備課程，謝謝您Q0Q)', '如題', '老師講解很清楚', '本來沒想過唱歌也能網上學，現在上了一半課，已感覺有明顯進步！', '上完課程後受益良多，對自己聲音的掌握度更好了', '-大眾化，擁有一套實戰技巧和練習，還可以隨時打開來跟著練習\n-成效顯著，跟著威宇老師做完第一章單元4-6的三個練習，前後唱同樣一首歌，發覺喉嚨真的變輕鬆，聲音更穩定了，練習很有用\n-獨特新穎，課堂理論與以往對歌唱的認知有一百八十度轉變，心憑的確很重要，配合人體結構和老師的纖驗和閱書無數，說服力大增\n-清晰易明，威宇老師講介的內容都很仔細，有不明白時亦會回應講解更多，謝謝用心', '唱歌教學裡面每個老師都有一套自己的方法，老師這一套強調的是放鬆。\n簡單來說就是因為你的意志笨蛋所以不要來亂 只要出聲交給你身體就好。\n是蠻有趣的概念也有自己口部操的練習，整體來說滿推薦的。', '很實用的訓練模式，持之以恆的練習擁有好歌喉不是遙不可及的夢想，謝謝🙏老師精心的安排教材，期待有更多課程～', '能一步步跟課堂練習很棒，而且為男女都預備練習很有心，老師也很會鼓勵人！棒！', '斷斷續續的學習總算是學玩了這個課程，老師的講解都很清楚！\n但比較可惜的是沒有講到音色的部分，希望以後有機會～', '刚购买课程，发现单单学完 [ I ] 的课程后，有非常明显的进步。\n打从小学开始，身边家人，朋友都说我唱歌像在念佛经，所以对于唱歌，我非常的不自信，再加上非常音痴，跑调是日常操作。虽然非常想一次过用几天时间上完全部课程，可是我最后还是决定，每上一堂课，训练几天-1个星期再继续开始新的一堂课。\n我希望就算念经，也能念出最好听的版本。', '心理素質的鍛鍊與發音肌肉群的放鬆都會影響唱歌的表現，比較科學的教學概念讓學生比較容易理解抽象的歌唱發聲練習，當然還是要靠自己每天不斷練習基本功，才能真的建立良好的發音技巧。比起鑽研歌唱技巧來說，收起得失心享受歌唱的樂趣比較重要。', '還沒加入Hahow上課嗎？\n快使用推薦連結 :\nhttps://hahow.in/ur/5d6141f6e90dec0021060774\n註冊即可獲得300元學習金折抵課程費用！一起來上課吧', '從課程中學到原來可以透過訓練增加口腔靈活度，進而擴張音域的練習。\n以及唱歌時的心法，包括不刻意咬字，不給氣，克服恐懼...等等都很有幫助。\n特別是講到某些難發音的字該怎麼唱，著實令人豁然開朗。\n想唱好歌真需要很多的練習跟投入，感謝老師無私的傳授！', '很棒的課程', '上完課.自己唱歌比較好聽', '本身唱歌很爛,因為想經營youtube所以來上這堂課,還好沒有自行亂練一通不然一定會很挫折,找有經驗的老師學習省了很多冤枉路,謝謝老師,謝謝好學校', '很棒的課程', ""對於歌唱是工作的我，一直知道放鬆很重要的概念，know why但don't know how，透過上課中的心理建設跟基本功練習，終於對於唱歌是一件很安心也很放鬆的事情，有了更深的體悟，未來也會持續的做基本功練習，希望可以不斷的進步。"", '以前練唱真的網路上太多不同資訊\n每個練練到最後反而不知道該怎麼唱才好了\n這個課程為我解惑了很多迷思跟導正了很多觀念\n\n以前唱歌壓力蠻大的\n每次都太想唱好，所以就唱不好了\n聲音總是卡卡的或是氣不足高音不穩定\n照著上面的練習改善很多\n也終於發現原因了 \n\n謝謝老師開這堂課!!!\n\n', '目前才上上到第一單元而已，但是老師給的內容以及課程裡的練習都是給我非常值得的東西，只要照著老師說的下去練習，而且練習的量出來之後，唱歌非常有感覺，完全改善了我之前不好的習慣，感謝老師，上完所有的課程在來分享～']"
1,SV 科學歌唱｜快速學會即興和聲,5.0,8,181,356,1680,"1. 學會超過 40 首流行歌的和音。
2. 具備基礎的即興和聲能力。
3. 具備基礎的和聲編寫能力。
4. 具備基礎的相對音感。
","['值得購買', '很讚', '不錯', '和聲好好玩', '很棒的課！', '很讚', '課程內容豐富', '課程講解']","['內容豐富、循序漸進、有邏輯性，很適合想要學會合聲的朋友', '超讚', '不錯的課程', '看了YouTube 影片開始對和聲感興趣，有這樣的課程真是太好了！', '老師的講解深入淺出，過去曾有和聲經驗的人也能有所收穫。', '很讚的課', '謝謝團隊老師線上教學', '樂理的說明真的淺顯易懂！謝謝老師']"
