,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
0,完全長笛手冊 - 入門基礎篇,0.0,0,101,73,1500,"- 了解長笛構造並找到適合自己的長笛
- 正確的長笛吹奏方式
- 如何控制氣流吹出好聽的音色
- 長笛基礎指法
- 使用《17首日課大練習》，學會每日基本練習方式",[],[]
1,十堂課輕鬆學會木吉他自彈自唱,4.6,10,198,364,800,"1.常見伴奏技巧:：　主要以教導""能力""為主，培養了能力便能面對各種音樂變化，或者持續進步的良好體質。

2.歌唱能力累積： 學習正確的歌唱方法，即便是平常輕鬆地在家中哼哼唱唱，也能慢慢累積歌唱實力!

3.網路資源運用： 例如在網路上找譜、網路的譜該如何閱讀、手機app協助練習、查詢和弦按法。","['ok', 'GOOOOOOOD', '這組課程真的物超所值', '非常完整且實用的教學內容', '好的開始', '最適合初學者的教材', 'Hahow課程評價', '想不到標題', '不適合已入門的同學', '整體說明清楚易懂']","['ok', '老師教的很詳細，目前學到第4課，努力中', '比起在外面一對一教學，網路上影片課程更能確保每個人都很公平學到一樣的東西，老師也教得很詳細，這上課之前我就有一把吉他，學過一點課程，卻還是不太會彈奏，上網查資料程度層次不一，很容易因為看不懂太難的教學而感到挫折，簡單的教學卻又覺得太基礎，像這樣循序漸進的學習、想練習哪個步驟在重複影片來練習真得很讚！cp值超高～～～而且才幾百塊就能上十節課～適合想自學吉他的人！！', '老師教得很仔細，內容非常豐富且實用。', '自彈自唱一直是我的夢想 經過這堂課程的介紹 同時對唱歌跟吉他伴奏有更多的認識 謝謝老師!', '非常非常詳細是彈唱教材中最詳細的，尤其對完全沒基礎的人', '老師講解非常詳細，讓我們從基礎開始練習，作業也都會有回覆', '這10堂課!我相信是許多新手在剛接觸音樂時，了解歌曲基礎知識不可或缺的課程。', '音符節奏講太細緻了，對已經入門的童鞋來說有些簡單，而且比較遺憾的是老師居然沒教片頭展示的切音啊～不過唱歌的部分還蠻喜歡的', '大部份都聽得懂，但不代表可以作到(會彈奏)，尤其4分音符還可以，8分音符已經亂了！']"
2,樂理指法一把抓 - 鋼琴基礎從零開始,5.0,21,251,896,1900,"1. 完整彈奏 - 卡農、奇異恩典等多首動聽樂曲
2. 擁有視譜能力、初級彈奏技巧，可自行讀譜彈奏相當程度的鋼琴曲","['簡潔易懂', '本人音樂系學生因手術休學在家進修', '很棒的基礎鋼琴入門課', '非常棒的課程希望老師可以繼續開課', '相當推薦的課程', '值得推薦的好課程', '簡單易懂', '不容錯過的好課', '樂理指法一把抓 - 鋼琴基礎從零開始', '優質的線上鋼琴課程', '推推推~~~推推推~~~推推推', '得到很多方向', '鋼琴基礎～', '適合自學的好課程', '很棒的基礎課程', '很實用的課程', '理論架構完備，技巧訓練扎實，練習曲目廣泛，絕對物超所值！', '謝謝老師細心教課', '那麼棒的課一定要來評價，少人評價可惜', '樂理+技巧複習', '謝老師教得很好!']","['沒有華麗的排場，但該有的都具備，由淺入深好上手！', '本人音樂系學生，因手術必須休學待在家一段時間，老師的課生動有趣讓我暫時忘記病痛，內容經老師整理後也簡潔易明，希望老師能開設更多樂理或音樂概論課程！', '很棒的基礎鋼琴入門課\n從指法到和弦循序漸進練習\n希望能早日練會卡農~ ^_____^\n', '非常棒的課程希望老師可以繼續開課', '老師講解得既詳細又清晰。選用的練習曲由淺入深，且大都耳熟能詳，老師還會帶出曲子的時代背景和故事。\n女兒正參加YAMAHA團班，有老師的教學為基礎，我也更能陪伴孩子學習。\n總之，這是一門相當推薦的課程，平時怡情養性，需要表演時又得體大方。', '線上上課時間彈性還能反覆聽講，依照老師進度及下載琴譜每天練習。\n本以為自己要能雙手彈琴很難，但只要跟著課程單元一起進行就能達成。\n老師講解速度很剛好，也無多餘語助詞是很值得推薦的好課程。', '從基本概念教起，沒有上過鋼琴課的我，也可以輕鬆上手彈卡農～\n', '老師講解詳細認真，跟著老師的步驟逐一練習，時間一下就過去了。對彈鋼琴有興趣的朋友一定不要錯過。', '小時候學過鋼琴，但荒廢多年後連五線譜怎麼看都忘了。所幸上過老師的課後很快就上手了！非常推薦～0基礎也能上的課程！', '謝謝老師詳細的解說以及優雅的示範， 我完全是零基礎， 雖然現在才彈到小星星，但是希望在初級課程結束前，老師能夠推出進階課程繼續學下去。', '好多年沒有再學琴了.聽了老師的詳細解說和示範彈奏.也希望自己能像老師一樣可以彈出給人猶如置身音樂會中的享受感^^。當然也希望老師還會再開下一次的課程.教我們彈一些流行曲或電視.電影主題曲的伴奏^^.謝謝老師', '得到很多練習的方向~', '可以一步步打好基礎～', '雖然目前課程只上到一半，但已經感受到彈琴的樂趣，而且只繳交了少少的學費，真心推薦~', '雖然是基礎課程，但課程內容豐富，不會無聊，老師講解清楚，每一首歌都有講解和示範彈奏，非常實用。期待有進階的課程！', '希望能有更進階的課程和練習', '因小孩到YAMAHA音樂教室學琴，自己也興起自學的念頭，有助於陪伴指導小孩彈琴。\n\n老師的課程從基礎樂理、大小三和弦、大小調音階至琶音，理論架構完備。\n\n技巧方面，從簡單的觸鍵練習、進階的和弦轉位練習、音階與琶音練習、哈農指法訓練，都是在訓練彈琴的基本功。\n\n至於練習曲目，老師講解與示範彈奏非常清楚明瞭，不過除了小星星比較容易上手，其他曲目個人覺得都有一定難度，需要應用課程中學到的種種技巧，但只要按部就班，一小段一小段慢慢練習，最終也可以彈奏出完整的曲子。\n\n老師的這套線上課程，要完整學好真得要花上好一段時間與心力，但進步是可預期的。', '雖然從沒學過鋼琴，都看小孩學鋼琴，小孩大了鋼琴就晾在一邊。\n現在可以不用花大錢，也沒壓力來玩鋼琴，\n謝謝老師細心教課....', '整堂課非常的不錯，國小有彈已經過了15年早就望了，本來要找以前老師來教一堂700發現這裡有課上，就入坑了，老師真的從頭開始一步一步來，一直練習，久了就熟練，希望趕快上到後面。', '我自己原本就有在上實體的一對一教學課程，不過學到後面的時候，前面學過的樂理有一些已經不記得了，多虧這個線上課程，我又重新複習了一遍基礎的樂理和手指技巧，讓我的手指技巧又更加熟練，還有一些相關的樂曲可以做練習，老師也講解的很詳細，示範的畫面也非常清楚，希望大家都能夠體會到老師的用心，好好練習', '很適合初學者,老師教得很好,以前我有1對1老師實體教授經驗,但效果不彰,我愛死現在的線上授課,CP值超高的,沒有時間.空間的限制及壓力,很適合中老年學生.這次我有信心能學好古典鋼琴,太棒了!']"
3,打出靈魂的節奏 - Cajon 木箱鼓 系列入門 1,4.93,14,51,253,500,當你聽到音樂，就可以即興與音樂配合演奏，或是即興獨奏出自己的作品。,"['推薦！專業的師資與課程內容。', '很棒的入門課程', '很棒的木箱鼓課程', '比實體課程學到更多', '很棒的教學喔', '讚', '適合完全不懂的初學者', '好上手~', '教學詳細', '很棒的課程', '整體', '坐姿', '教得很詳細！', '收穫超多的一堂課!']","['老師對於木箱鼓的理解非常透徹，所以在錄製的課程內容中，可以清楚地解釋關於坐姿、音色、手法等細節，建議可以把練習樂譜整理成電子檔，供購買課程的同學持續練習，也期待新的課程裡，能夠聊聊關於木箱鼓發展的歷史脈絡，不同音樂風格的節奏使用等。', '先前買木箱鼓自學，網路上有許多教學影片，但資訊必須自己統整。本課利用一小時快速讓我掌握概念，知道打擊技巧，非常推薦。', '謝謝老師讓我了解木箱鼓坐姿及不同音色的細節以及由來~!', '看了影片才知道木箱鼓的打擊方式有分這麼多種，比我之前實體課學的還要多~~', '深入淺出，徹底打好基礎。期待第二集的出現', '簡明扼要', '適合剛開始練習的人 希望可以有多一點的練習 或是樂譜的教學', '好上手~\n期待進階課程~', '講解打木箱鼓原理和介紹如何打出各種音色都很詳細，拍攝方式也很清晰', '謝謝老師與平台提供這麼專業用心的課程', '教得很詳細！！', '原來木箱鼓要往後傾斜，受益良多，這樣一看就可以分辨專業度啦', '除了教我們各個基本動作外，也有講為什麼要這樣做的原因\n讓我們從根本去了解這些基本動作，就更知道為什麼要這樣做了', '老師的介紹清晰、影片剪接超用心、步驟簡單易懂。']"
4,挖出你的節奏細胞!爵士鼓教學-基本節奏篇,0.0,0,137,160,1800,"學完這堂課後，可以套用節奏在任何自己喜歡的歌曲上
例如:五月天的歌曲<溫柔>.蕭敬騰的<王妃>.張震嶽的<自由>.邦喬飛的<it's my life>......等等歌曲裡有運用到的節奏都包含在教材裡!
你可以組團玩音樂,提升節奏感,讓心境更穩定,讓其他想編曲卻因節奏而困擾的人解決煩惱,而且可以很帥!

我將會在課程裡提供我親自編寫的鼓譜
課程結束後，學生可以參照鼓譜自己打出完整的歌曲喔!",[],[]
5,吉他從零開始-Fingerstyle（進階）,0.0,0,48,167,800,老師特別為本課程編寫一首示範歌曲「Little Treasure Of Mine」，用這首歌來介紹各種常見的fingerstyle 打擊技巧(又稱 percussive technique)，將複雜的技巧拆解成簡單的練習，協助大家完整演奏這首曲子，下次的聚會你可以在大家面前技驚四座!!,[],[]
6,吉他從零開始 - 初級篇,4.48,21,90,1356,600,"學習完「吉他從零開始，初級篇」後，你將會學到：
1.能夠識譜，看得懂節奏 (還有我們上課的教材)
2.了解音階、音程。
3.自彈自唱。
4.抓歌。(聽到歌曲就能夠演奏出來，甚至寫成譜)
5.不依靠 capo (移調夾) 轉調的能力。","['建議有基礎的人來學', '不適合從零開始的初學者', '很棒的課程', '對一個完全入門者來說或許這還不能算入門', '對我來說滿有幫助的，而且課程很詳細說明，很棒', '優質吉他課程', '認真的課程', '課程淺顯易懂', '淺顯易懂的課程', '對完全新手還是有點難', '適合初學者', '剛買吉他的新手，覺得困難', '老師的教學很淺顯易懂', '吉他從零開始 - 初級篇', '吉他教學', '用心教學', '適合初學者', '獲益良多', '👍👍👍', '教學清晰，很快的可以進入狀況!', '影片可不可以提供慢速播放的功能?']","['真的不適合完全沒有基礎的人...在練習示範的時候沒有註記和弦的圖片，還要一個和弦一個和弦回去找，學習完全沒有效率，很後悔買了這堂課...', '這堂課並不適合零基礎的人，很多概念都是簡單幾句帶過，練習的難度也偏高；買完課程後看了一兩堂放棄，自己跑去音樂教室上一年吉他課，再回來看影片還是覺得這樣的教法跳太快了，很難理解課程內容。', '平易近人，循序漸近，很適合剛入門者學習！', '隔行如隔山，看完影片我還是完全不是很理解。\n不過老師認真的教學，學生看在眼裡。\n應該是多看幾次以及找一下資料，比較能體會老師的解說。', '對我來說滿有幫助的，而且課程很詳細說明，很棒', '透過老師課程逐步講解，一步步練習，樂理機組知識及吉他技巧都有感到進步~\n謝謝老師!', '認真的課程內容、充實的講義', '對於剛學吉他的我來說滿有幫助的！', '雖然是淺顯易懂，但對樂理一竅不通的我，每一堂的課程還是反覆看了好幾遍才能完全理解（完全是本人的問題XD)\n不過一旦理解後，覺得眼前視野突然大開，非常受用！', '會再去查一些資料 書本或影片 再回來把課上完', '對於剛學吉他的朋友來說滿有幫助的！', '會再去查一些資料 書本或影片 再回來把課上完', '老師的教學很淺顯易懂，而且講話很有條理也不壓迫，期許自己能盡快交作業 ! (哈哈哈哈)  ', 'Very good~', '很棒的課程 幫助新手釐清基礎樂理概念', '獲益良多', '老師在課程裡清楚的講解，讓初學者打下良好的基礎。加上課程中有許多的練習題，增進熟練度，很棒！受益匪淺。', '對於吉他新手而言 此課程讓我獲益良多 也為進階的吉他技巧墊下良好的基礎 謝謝老師!', '很用心的教學！', '老師的講解非常清楚，加上有圖像配合，比起直接看書，只有文字的敘述，清楚很多。尤其又把琴格的變化，加進去三和弦、七和弦的說明，對於了解和弦，會更加清楚。很希望可以再繼續開課!', '如題.']"
7,薩克斯風 - 13 堂基本功吹出專輯的美聲,5.0,7,91,149,1500,"1. 擁有自我學習的能力
2. 修正所有基本樂器中，可能遇到控制的問題與困難
3. 有能力吹出想要的聲音且學歌更快更精準","['初學心得', '很不錯的課', '我來上課了', '蠻有幫助的課程', '薩克斯風 - 13 堂基本功吹出專輯的美聲', '感謝老師', '已經可以上傳了，謝謝。']","['感受到老師的用心...因為有些點..確實有困擾過...\n因剛開始..上課...有待加強如課程上說的""基本功""\n困擾...調子沒啥概念...且學且摸索....', '非常的詳細，但是如能有更多技巧詳解更棒！感謝你', '老師，我拿得到的折扣代碼兌換來參加上課了！', '有提出一些需要注意的關鍵點與練習的方式，也附有相關的連結以及資料細節，非常有幫助~~', '看完老師1-13章的課程內容 我很感動 這裡面有老師的認真 細心 有內容豐富的教材及重點教學  我目前雖然在外面學習薩克斯風 但是基礎部分永遠覺得有不完全的感覺 我要說 因為很少有老師願意真正的告訴我們非常細的細節 及甚麼才是真正的重點 對怎麼運用重點 這樣才是我們學薩克斯風的一個很重要的開始 ..... 現在我終於可以細嚼慢嚥的 用心的 認真的 去了解 去練習老師給我這13堂的內容(資產)了  現在我更容易去學 去想 去練習  對我是另一個學習的開始 對吹奏更能運用自如 我相信對其他初學者更能如虎添翼 我要感謝鄭老師的認真 感謝鄭老師對學薩克斯風的付出 謝謝你們\n       ', '內容豐富，解說清楚。讓我獲益良多喔！', '如主題，已經可以上傳了，謝謝。']"
8,吉他編曲超訓練：豐富精緻的彈奏設計,5.0,5,537,299,2499,"１．應用彈奏技巧、節奏或是風格元素在歌曲中，做到「好聽」、「專業」
２．面對一首歌曲，你將懂得設計出多種不同的伴奏方式，讓彈奏不無聊
３．加入不同的曲風元素，讓歌曲有不同風味用這些概念與應用
４．發展出個人特色，會非常有成就感！
５．更多人會想找你伴奏彈吉他，把握更多的音樂演出與製作機會
６．提升自己的音樂創作作品，影響更多人！
７．其他...","['很豐富的內容', '讚', '十分受用的吉他課程', '精實且豐富', '坊間少見超完整詳細的教學！']","['老師的分析很詳細，整個課程上完，增加了許多樂理的基礎，還有對木吉他編曲的架構更加了解，需要時間練習消化彈奏技巧，也感謝老師在板上快速的問題回覆解惑。', '十分受用，在編寫樂譜上有更多想法', '如題, 這門課對我十分受用, 有不懂的都可以問, 影片都可以重複看, 練習的講義也都有, CP值很高!!!\n不拘時老師是十分專業的老師, 可以去他的網頁逛逛, 多了解就知道選這門課, 是選對了!!!', '這門課的內容超豐富，而且價錢只相當外面的一期吉他課程！！！\n許多外面的吉他教室都要求一個月上滿四堂，但大多時候，一堂課教的東西都需要花滿多時間練習，因此四堂課中重疊的內容通常會很多。\n但這們課的內容從練習到應用，幾乎可以練半年到一年以上，用一期的課買到真的超划算！！！\n\n', '值得推薦給想學習或精進吉他手！']"
9,黃子瑜鼓教室 | 爵士鼓職人 12 週養成計劃,5.0,6,93,221,3600,"本課程將幫助你建立強烈的 subdivision 體感，學習頂尖樂手所擁有的基本專業，因為這是很多鼓手，甚至是職業樂手所忽略的內容。subdivision 的體感是音樂演奏的基礎，有了這基礎才有機會往上發展成律動，而律動的特質將會是決定你這個人演奏風格的絕對關鍵。要知道的是，沒有演奏在律動內的音符都是噪音，所以建立強烈的 subdivion 體感將會是所有職業樂手的第一要務。

這個課程以每週一堂課的進度設計，只要你肯用心學並願意持續練習，12 週絕對可以練完一遍，而在此之後只要能夠用同樣的觀念持續反覆練習，一年下來保證大大提升你在演出以及錄音時的穩定度，進而成為更好的鼓手爭取到更多的工作機會。","['非常實用且有效率的練習課程', '來修煉吧！🥋👍🏻', '身為鼓手，這門課真的必修。', '課程內容豐富', '好', 'Great!']","['如題。\n這個課程讓我避免掉很多彎路，真的太厲害啦XD', '課堂練習很有挑戰性，好像要把學習打鼓/進修打鼓的人的腦袋與肢體重新開發🤯\n', '從黃子瑜鼓教室開始\n每週六固定看老師的內容\n終於等到這門課了 超級值得！', '課程非常扎實，對於強化基本功非常有幫助，課程越到後面難度增加越顯吃力，需要投入更多時間練習', '很好', '課程內容很有深度..也很有實用性及音樂性..']"
10,零基礎輕鬆學：流行鋼琴【即興伴奏】彈唱,4.87,15,213,412,2380,"1. 自我發揮【即興伴奏】，可用於所有的各年代流行歌曲、電影配樂、教會歌曲、古典改編、兒歌伴奏。
2. 擁有五線譜與簡譜的和絃視譜能力。
3. 可自由運用13個通用和弦即興伴奏技巧，從章節3~10(共32單元)，由簡至難，從初級一直到中級的即興伴奏技巧。
4. 可運用於司琴、自彈自唱、為他人歌唱或樂器伴奏。
","['初學實用，老師講解非常清楚', '老師教得好', '簡單易明實用', '實用的課程', '很棒的課程', '講解的很清楚', '非常實用的課程', '滿滿乾貨 滿滿感動', '紮實有料的好課', '非常推薦', '對於基礎沒有學好的人超級推薦', '鋼琴課程', '很適合想學基礎或是想加強的人', 'GOOD!', '很豐富的課程內容']","['一直以來對於樂理都是又愛又無奈，老師的影片循序漸進式的講解，讓我可以越來越明白之前卡住的問題，影片的內容也很豐富。\n只是希望歌曲示範的部份可以有流行歌的影片示範會更清楚，或是可以有些比較快板示範的歌曲。', '我是學古典音樂的，流行音樂不太一樣，像是首調方法，突然要用這方法覺得很難老師寫的音樂好好聽，原來自彈自唱的規則是這樣彈法，以前都找不到書，還好有老師的影音教學，讓我淺顯易懂的學習。', '由零開始學習鋼琴，由淺入深教學，掌握了很多實用技巧。謝謝老師。\n還有老師唱歌好聽(^A^)', '課程規劃的很好，尋序漸進，讓我重新學習樂理與編曲技巧，很棒的課程.', '課程由淺入深，本身有一點點樂理基礎，在觀看本課程後有加強樂理知識，尤其在伴奏技巧得到很多的收穫。', '五度圈的解說很清楚 練習方式也有說明 對練習轉調很有幫助', '課程安排由淺入深，老師講解得非常清楚，透過實際示範很容易了解如何運用', '老師的編排由淺入深，輔助用的講解圖片與示範都非常清楚，老師在學理樂理及教學上的經驗與知識，再加上彈唱的實務經驗，為課程增加了不可取代的優勢。\n\n樂理知識很難，但透過老師清晰的講解原理跟詳細拆解邏輯後，變得容易理解，只需要再花一點時間去背誦，在練習就能開始運用。我看完樂理教學時，我忽然覺得很感動😭。因為我是曾經上過10小時家教課的人，算剛開始學而已是完全不懂音樂的。在這個課程裡遇到聽不懂時，我就在看一遍，就這樣多看兩遍，竟然就懂了，能看懂，自己也很意外。\n\n另外就是老師講解會使用專業名詞的原始英文或是原文，增加了了解，因為有些中文翻譯實在不好理解到底是在說什麼，這點也覺得很棒，讓自己覺得有更貼近鋼琴領域的感覺。\n老師在指導作業時，很精準找到問題點，也會給予適當的進階練習建議，覺得很實際。\n\n這個課程很實在，學習有種很踏實的感覺，這踏實感讓我不用信心喊話，而是真的相信我可以學會、可以做到。\n\n\n其他有些比較像是硬體/網路問題，可能要問工程師；中間會有些片子不知道是收音不清楚，還是我網路不穩定的關係，有時會有聲音不見的情形，就要來回看一下。還有就是字幕有時會擋到示範，有時後也會出現前面單元的字幕，這蠻頻繁的，這點就小困擾了。\n\n\n但以上硬體問題不影響學習內涵，總之課程很棒，真的非常感謝老師設計教學並分享這課程。👍\n\n', '混合理論與實際操作，很豐富的課程。', '課程安排循序漸進，老師的聲音清楚好聽，影像也很用心編排，除了彈唱的部分，還有前面的基礎教學和後面的樂理教學，值回票價！期待老師再開其他課程！', '老師的編排跟教學方式很平易近人，也很仔細地教導如何有效率地記住和弦的排序跟練習的方法，覺得非常受用，自學鋼琴一直覺得左右手無法協調，在課程練習當中也學會了覺得很開心：）', '前面的章節基礎講解仔細 有幾首兒歌好上手 希望可以附一些流行歌的樂譜 好練習彈奏\n後面章節開始難度越來越高 需要反覆的觀看 以及老師的解答才能往下看下去 ', '這個課程從最基礎的開始教，除了教指法和伴奏技巧，還講解很多樂理，以我學一半古典一半爵士鋼琴來說，收穫良多。', '基礎的觀念教得讓人好懂很吸收', '原來12個調有它的邏輯，完全不用死背，現在只差熟練度而已，我相信熟練之後，轉調就不是問題了。']"
