,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
0,喬老師模型課：出神入化模型技法｜鋼普拉篇,5.0,73,345,2344,2400,"1. 認識各項工具與各種漆料的特性，並能熟練地掌握應用方式。
2. 學會筆塗與噴漆等塗裝訣竅，跳脫顏色的束縛，賦予鋼普拉獨特色彩風格。
3. 學會零件管理、加深刻線與銳化零件等組裝技巧，從細節處提升作品精緻感。
4. 了解鋼彈骨構與攝影技巧，留下帥氣的擺拍照片。","['很棒的基礎課程', '真的是超棒的課程', '很多實用技巧', '真不錯', '內容豐富，步驟詳細，值得一上的好模型課', '多虧喬老師 讓我20年後 再度製作模型', '製作完美的鋼彈模型最佳課程', '喬老師94讚!', '獲益良多 又更進一步獲得相關知識', '重新喚起心中的鋼彈魂', '講解清晰容易理解', '喬老師模型課', '模型線上課程優質內容', '很有系統的教學', '少有的网上模型课程', '非常棒的模型課程', '感謝喬老師', '超級推薦剛踏入模型製作的玩家!', '鉅細靡遺的課程', '很好的模型基本教學', '淺顯易懂的實用課程', '覺得太好了', '不論新手或老手最好的課程不二之選', '值得一上', '真的是很基礎的課程!~謝謝喬老師', '受益良多!!!', '內容豐富', '超讚', '內容品質讚讚!!', '非常有收穫的課程', '100分', '超讚~', '認真編排的好課程！', '表達清晰，用心教授，適合初級至中級的模型玩家', '超實用', '模型製作必學', '喵', '影片清晰詳細', '實用的課程', '實用模型課程', '模型製作課程', '非常實用的一門課堂', '很詳細的教學', '很適合初學者', '非常充實', '非常充實, 理論與實務兼具!', '謝謝喬老師', '十分好的入門課', '課程全面', '課程內容淺顯易懂', '獲益良多!!', '課程內容淺顯易懂', '適合新手的課程', '課程內容深入淺出', '很棒的課程!', '非常喜歡這門課程', '初學者最好的入門', '不錯的課程內容', '整體內容還不錯', '收穫滿滿', '給初學者最好的入門!!', '基礎及加強雙效合一', '模型教學好棒棒', '物超所值', '推薦!!!', '非常仔細', '很完整的入門到進階的系統性教學', '完整性教學', '還可以', '教學簡單易懂!', '對於喜愛模型的初學者來說是個非常棒的教學課程', '很好的教學方式', '好']","['對於完全新手而言，真的是全方面的教學，且面面俱到', '順著學就可以做出厲害的鋼普拉\n真的是造福鋼普拉迷的教程', '很多實用技巧，期許自己能夠參加一次鋼彈比賽拿參加獎。 ', '對入門相當不錯，照著教學內容多練習應該可以進步很快。\n有些原理，像為什麼要補收縮，搭配CG示意圖說明得很清楚，可以更加瞭解步驟的重要性。\n製作過程也沒有要求太多專業工具，很輕易可以跟著課程實作，總之真的很適合新手入門。', '不同漆性的使用（不同品牌漆類說明，淺顯易懂），筆圖&噴塗的應用，設備的選用\n還有我最愛的金屬亮面漆製作', '以前只能是素組而已 甚至湯口都沒有處理\n偶然在YT上看到喬老師的影片\n讓我對以前20年前的嗜好\n又重新燃起火花\n所謂江湖一點訣\n上了課之後 對於製作模型的技巧又更進步了\n感謝喬老師！', '想要製作完美的鋼彈模型，有非常多的步驟，而喬老師的這堂課都有一步步說明的很清楚，不管你是初階的素組玩家，或是進階的塗裝玩家，這堂課都可以滿足你的需求。別遲疑，快來一起學習，做出你自己心目中最完美的鋼彈吧！', '喬老師94讚!', '教學明確 口條清晰 從中獲得過往一些製作上失誤的改善方式 以及更好的模型製作方式\n感謝喬老師教學', '組裝鋼彈是讀國中之前非常熱衷的活動，不過當時也只有修湯口、組裝以及貼貼紙...等。\n曾經嘗試上色，但做得亂七八糟，不知不覺就放棄了。\n看到老師以及團隊用心製作的教學影片（尤其是圖示以及音效，都可以感受到滿滿的用心），再度燃起心中熱血！準備把收藏多年的模型再次拿出來組裝！', '用最簡單清晰例子做教學, 能夠讓我這個笨蛋都學懂!!', '獲益良多 需要更多耐心', '以第一次開線上課程的優質程度而言，喬老師講解非常體貼讓剛接觸或是只會素組的人都願意買簡單工具回家自己練習，唯一缺點噴塗真的步驟很多，注意事項也多，沒操作或是有人在旁邊幫忙指導真的會剉。', '學習到許多的技巧與觀念，期待未來有不同的課程上線', '这个网上课程我觉得非常棒。因为可以从听到真正的专家的意见，比自己摸索或者看论坛要少走很多弯路。\n\n非常期待下一期的模型课，比如刻线，做旧，场景模型等等。\n\n感谢乔老师的指导！\n\n我想如果乔老师把你的这个课程翻译成英语，法语，西班牙语等，估计也有很多外国模型粉丝想上课。 因为这应该是唯一的较为全面的网上模型课了。', '課程對於一個新手玩家來說真的非常棒，整個SOP邏輯清晰相當實用。', '上完整個課程後讓自已學到很多的東西和技巧。\n因為身邊沒有什麼有共同興趣的朋友可以討論，有問題以前都只能自己亂搞。\n上完課完成了一支作品後突然想把以前作的都拿出來拆掉重弄。', '課程內容非常的豐富 ~\n教了非常多的技巧，真心覺得花這筆課程費用非常值得，還在猶豫要不要購買這課程的人，別再猶豫了，2400$的價格真的比自己摸索花的冤望錢還要值得!', '過去瀏覽各大部落格學習鋼彈的製作技巧，大多是片斷的技能，需要自行的嘗試、結合。喬老師的課程把整個製作過程的每個細節都介紹的非常仔細，甚至有許多過去沒注意到的地方。真是十分推薦給每一位想學習製作模型的玩家。', '簡單明瞭，還可以重複複習。', '由於隨時都可以上線觀看課程內容，遇到比較不熟的操作部分均可以回頭重複觀看，對於新手很有幫助，值得推薦。', '不管新手或老手都適合體驗這課程', '不論新手或老手最好的課程不二之選', '清楚的解釋模型製作方法\n有助於新手進入模型製作領域，也試用老手紮好基本功', '希望未來可能有更豐富的課程，其實後面幾堂39節之後比較不適用，最適用的是塗料的用法方面\n之後如果有開課可以有更進階的塗料使用技法，或者空壓機、抽風機等比較^^', '看完喬老師的所有技法教學，學到好多，在模型製作上少走了很多冤枉路，\n且做到一半在哪個地方忘記時，可隨時切到那個章節再複習一次，\n非常實用!!\n', '內容很豐富，且實用，在編排上很用心，很適合想把鋼彈模型做好的玩家', '超讚超讚', '很喜歡喬老師對於模型製作的講解的方式，\n希望未來可以推出更多模型相關的教學內容~', '非常詳細、完整、且清晰的介紹完整的模型製作步驟，很多小細節非常有幫助，上完之後馬上使用學到的方法製作。', '微微角角很實用', '非常實用的課程！', '課程深入淺出，搭配精美的原理說明圖（如模型切面等）\n讓初學的我做一支就上癮！入坑鋼彈推薦！', '由開始組裝到噴塗，以至拍攝，每一個細節都解釋詳盡，而且附有動畫，很多鏡頭和言語難以解釋的地方都能讓學生清楚了解。', '對初學者幫助十分大', '以往學模型都是東拼西湊的技法，第一次有人統整出這樣的教學，這跟大考前的衝刺班根本沒差別了阿ＸＤ', '我覺得教的很仔細', '拍攝的不錯', '內容由淺入深相當實用，看出老師授課的用心', '課程安排基礎實用，希望在演示上多一些範例', '一直以來其實都是爬文跟看網路上一些影片來製作模型，從沒好好研究模型製作的流程跟細節，喬老師影片中提到的很多常見錯誤我都有錯，很感謝老師出了這樣的課程，獲益良多', '由淺入深的教學方式非常清晰易懂\n非常適合初學者的一門課堂', '講解的很詳細，從新手到最後成品擺放都有解說，真的讚', '教學課程 有系統 有條理\n讓我能比較完整的 了解製作流程和相關的基礎知識', '介紹了很多技巧，可以讓初學者更上一層樓', '如題', '謝謝老師開的這堂課 讓我勇敢的去嘗試原本不敢做的新技術 也讓我完成了第一隻蝕刻片和改色 我會繼續加油 也希望有天能讓喬老師看到自己的作品', '十分好的入門課, 如可多談及weathering, 刻線, 基本改造便更棒了.  期待有進階課程.', '課程設計全面，從素組到上色技巧，初學者容易理解。', '初學者剛開始入門組模型時容易遇到困難放棄或爛尾 藉由課程扎實內容 一步步做下去 可以輕鬆的完成模型組裝 值得推薦的好課程', '1.平時會遇到的問題都有講解\n2.詳細的組裝技巧解說\n3. 更進一步提升自己模型的完成度!!', '已經很久沒組模型，今年開始回歸，而以前組模型連打磨修湯口都沒有過\n課程也有清楚介紹工具，修膜噴塗技巧的說明都很簡單易懂，剩下就是多練習！\n', '從影片中可以學習很多基本操作，練習久了就可以更深入的去嘗試，但離不開基本功', '從觀念核心逐漸一步步指導說明，並且解惑大部分玩家製作中時常碰到的問題，不論打磨、補土、噴漆、上墨色、上貼紙甚至最後的模型動作與拍攝令人受益良多，有了具備模型製作觀念與邏輯，未來製作作品餘刃有餘。', '很棒的入門課程!\n從基礎的打模組裝\n一路到噴漆完成作品\n很實用的教學內容\n謝謝喬老師', '內容由淺入深\n自己覺得課程內容相當實用\n在興趣的發展上有很大的幫助', '透過這課程，可以讓我用這最好的方法去了解最多的組裝模型的技巧和使用各種工具的方法。', '課程內容涵蓋基礎、中階與進階，對於科幻模型有興趣的人極有幫助；未來希望能夠出更高階（例：改造膠板運用、機體改裝、光影噴塗-設定光源投影方向等..）的課程內容作為銜接，以造福更多的同好。', '內容不錯~有技術性的教學', '之前上過一次成型色的課程，這次不但複習了還又學到了一下新東西，感謝喬老師團隊', '一步步為新手出學者用心量身打造,一個完全站在初學角度的好課程\n建議:1.可以在不同噴塗技法上多些示範,2.下次或許也可以開其他模型的課程,例如:軟膠或GK怪獸修磨與噴塗技法,或者汽車與人物,最想學的莫過於場景了!期待老師開課!', '我原是素組玩家，但看到模型店櫥窗裡精緻的模型，心中的悸動油然而生，想要有更好的技巧及方法來組裝模型，這樣才不會愧對荷包，但上完課後只能跟荷包君說「對不起！我真的喜歡那個酷東西」，課程讓我學到無縫的技巧，基礎的筆塗補色，真是迫不及待的想要再來試試身手了！\n猶豫的人，請趕快進來上課～超棒的！', '課程紮實', '課程內容相當仔細，學到了很多東西！', '漆料特性講解蠻清楚的，噴漆技法也有提到很多未接觸者要留意的技法，工具講解等等都解釋恰到好處，影片長度經過整理，所以都蠻精簡但卻都是重點，對於往後要複習其實會比較好快速找資訊。', '感謝喬老師讓我重拾做模型的樂趣!\n', '本身也是剛入門一陣子的玩家，在學習製作的技巧相關知識的過程中，也常遇到到許多製作過程的問題是心中一直保有疑問，但遲遲無法解決的。 真心覺得這門課整理循序漸進的教學可以讓想嘗試踏入模型領域的朋友可以有一個完整的觀念與扎實的基本功訓練，並引導大家不會走太多的冤枉路，用最短的路徑搭建自己心目中的理想作品。在完成了這門課程，也覺得可以重新檢視自己在製作流程的細節與以往未注意到的步驟。', '課程內容由淺入深，就算有十足經驗的模友都可以提及許多小細節', '初學者來說很受用.\n對進階者部分內容跟小地方注意事項也是不錯', '喬老師用深入淺出的教學方式，讓人受益良多!\n不過希望可以有舊化之類塗裝課程', '就算是對會組鋼彈的玩家而言，如果你只會素組，上過這個可真的受益匪淺，讚👍', '每個課程都解釋的很清楚\n', '模型入門/進階全都有了, 如果沒時間找實體課程, 那來買這堂課就好\n\n還可以傳承給小朋友, 一起入坑 (?)']"
1,原型師模型課程：九天衡-邪羊莉莉,5.0,5,1163,286,2500,"透過這個課程學習的技術，會帶領學員做出一件完整的高階人物實體模型。除了講解女性臉部、身體比例、動態、肌肉的雕塑方法之外，還會分享怪獸頭骨、武器與翅膀的製作。
學到技術的學員除了製作自己的作品外，更可以運用在 3D 印製造型修補上，雕像修復，造型改造上，運用範圍廣泛。","['超值', '超讚的課程', '物超所值', '實在很棒', '好豐富']","['學了好多!!', '超讚的課程，內容多到爆，感謝老師。期待解鎖課程早日開放^_^', '手把手教導 ，細節講解很詳細', 'PKKING老師的教學鉅細靡遺，而且看老師做東西挺療癒的....課程時數份量非常夠，CP值超高，觀課後也覺得獲益良多，往後遇到製作瓶頸時一定會經常拿出來參考。', '超值']"
2,喬老師模型課｜鋼普拉擬真舊化技法：汙漬效果,5.0,5,51,265,899,學會油污、流鏽、灰塵反覆風乾、煙燻四種污漬塗裝效果。,"['功力大增～～！', '海外模型生', '簡單易明', '感謝喬老師再次推出新課程', '擬真舊化教學']","['看完課程，等不及要動手做了！', '課程詳細，超值的教學影片，對於海外學生想進一步學習污漬效果，真的方便太多了～', '課程簡單易明，如果可以用多一些不同種類的舊化油作示範更加好', '內容講解很易懂，技巧也很容易操作，謝謝喬老師', '很實用']"
3,喬老師模型課｜鋼普拉擬真舊化技法：磨損效果,0.0,0,64,199,899,學會用海綿拍打、電動工具、補土做出磨損及戰損的舊化塗裝效果。,[],[]
4,喬老師模型課｜鋼普拉擬真舊化技法：鏽蝕效果,0.0,0,37,199,899,學會用脫漆液及鹽巴隔離法做出不同的鏽蝕舊化效果。,[],[]
5,角色原型雕塑 - 走進電影美術的世界,5.0,5,229,77,2680,"1. 從 0 到 1，了解如何組織靈感到轉化為自己的設計
2. 學到如何將平面人物轉化為立體形象
3. 透過立體塑造，擴增設計思維和靈感
4. 少花冤枉錢，直接給你精華好用的工具提案","['不藏私且細心教學', '這個原型雕塑課程非常棒！', '好難得的課程', '初學者購課', '這堂課真的很有趣']","['老師很認真在上課，有更好的方法都會傳授，甚至有提供自製工具的方法！', '老師講解很詳細，很用心。學到很多雕塑的技巧，謝謝老師。\n特別喜歡【課程重點講義】，有了這個講義，我都不用做筆記了。\n', '可以學得電影魔物的過程', '收穫良多!\n讚!', '老師講的內容完全是以一個初學者的方向去講,完全不會有任何內行才懂得話語,新手都能輕易了解\n希望之後老師還可以開教上色,讓角色更生動\n']"
6,BIM 實務即戰力！一堂課學會建築資訊模型,5.0,8,657,473,4190,"1. 可以用 Revit 執行建築專案建模。
2. 能與業界接軌進行基本 BIM 專案執行架構設定。
3. 從執照圖說到報告書，能獨立做出 BIM 建築資訊模型並同步完成相關圖說修正。
4. 知道建築專案的過程中，問題在哪？並透過有效率地方式解決問題。
 ","['GOOD', '謝謝老師的分享', 'BIM 實務即戰力！評價', '課程架構清楚', '課程有連接實務經驗', '非常棒的課', '很有系統的教學', '繪圖有結合實務運作']","['謝謝老師', '一步一步的建構反覆地看就慢慢完成了~謝謝老師的分享', '老師教學模式有系統性，對於剛接觸的使用者能快速的大略了解軟體功能，但若能增加更深入的教學內容會更好。', '照著建築師設計好的課程架構，一步一步的從""操作介面""到""蓋房子""最後獲得""業界小撇步""的學習旅程，系統性的了解Revit並且與業界接軌。期待未來有類似課程開課，建議能從較基礎、簡單的案例出發，可以降低新手學習的恐懼。', '沒想到線上課程可以如此仔細清楚\n老師講解的都是工作上真的可以用到的\n非常實用', '老師的教學非常有系統性，講的也很清楚完整。之前自己是摸索著用，有很多不會，上完課後才知道自己有很多使用習慣要改進，手頭上的工作變得更順利有效率，不用像以前要一直花很多時間弄東弄西，非常感謝老師開這門課給大家~', '清楚的介紹軟體的架構,對於初學者在實務應用上很有幫助', '從一開始的設定至協同作業部分有清楚的解說，讓已有繪圖基礎但沒有實務經驗的更能我瞭解到實務上的運作。但雨遮、該案例樓梯與裝修材質部分之建模教學完整性若更仔細的話會更加完美。也期待有更進階的課程與解鎖的課程。']"
7,活用深度學習：MT4 交易程式整合視覺模型,5.0,8,343,169,3890,"1. 讓 MT4 交易程式擁有 AI 的能力
2. 打造自已專屬工具包
3. 擁有自已專屬視覺模型
4. 能夠建立 MT4 與外部程式溝通管道
5. 了解完整的專案流程與整合方法","['很實用~', '這是我喜歡的課程內容', '鉅細彌遺，耐心回覆問題', '非常棒的課程 講了很多實作ML與MT4的部分', '很棒的課程', '市場少見以圖像編輯成交易程式的方法。', '學習內容很扎實', '五星好評']","['課程教的東西都很實用，對於想要使用mt5做機器學習或視覺化模型的人很快就能上手', '很棒的課程，也正是我想學的課程，期待有更棒的課程推出。', '課程內容講解詳細，且老師時常在課堂中分享自身在模型建置上碰到的問題，令人受益良多，少走歧路，開課至今超過一年，但是遇到問題發問後老師仍儘速回覆，協助學員逐步入門。', '老師的課程真的是非常有質量，有深度，講解了如何利用電腦視覺來看盤，減少人工的錯誤判斷\n(當然每個人的模型都需要自己去優化，才可以在市場上有機會去獲利)\n\n我想老師的課程，讓想要嘗試撰寫程式去做外匯市場交易的人來說，真的是一大幫助，而且少繞了一些路\n非常建議想要在外匯市場上，用程式自動交易的，可以來上老師這一堂課，收穫滿滿!', '課程非常實用，老師很用心，可惜很多解鎖課程沒達標，希望老師分享，大家加油', '老師很有耐心的教授，市場少見以圖像編輯成交易程式，肯定可以對交易有幫助。', '人家常說交易是不能放感情的，但是只要是手操一定會有感情，原先懂一點AI只是無人帶入MT4的世界，剛好在網路上看到這個課程，認真花了三個禮拜以及老師不厭其煩的回答問題，雖然針對MT4架構還是不太了解，但用老師提供現有的程式加以修改，已經建立一個還不錯的模型，下禮拜就來測試看看，希望老師能多開幾堂有關MT4結合AI的課程，讓大家有機會財源滾滾!!!', '課程從 MT4 到 stocket 到 python 到 深度學習 都解釋得很詳盡 也有參考的網站 即便不明白 也可以發問 問題的反饋也很效率 \n\n我大概花了三天時間 把課程都實作完畢 多虧老師的問題反饋\n\n對我而言 其中最爽的因該是爽賺一波 code(省下很多頭髮跟時間)跟搭建的經驗 還有 底層架構的知識\n']"
8,數位轉型敲門磚，產業必學 AI 思維通識課,4.65,46,124,344,1200,"能夠掌握 AI 基本概念，並認識相關熱門詞彙的意義（如：Big Data ）
能夠理解 AI 的應用原則及限制，並初步判斷在產業中的切入點
能夠了解 AI 基本的運作原則，並運用於職場溝通、合作中
能夠利用課程所學，發現實務案例中，AI 導入企業的常見錯誤","['認知入門', '課程充實', '課程評價', '對於初學者很容易且清楚了解AI內容', '很好聽的AI概念課程', '基礎的人工智慧課程', 'AI概念課', '非常淺顯課程容易入手', '可', 'AI思維通訊課', '純理論的課程', '很清晰的課程', '很棒的入門課', '淺顯易懂', '老師講述的課程非常清楚明瞭，讓我對AI有初步的了解。', '老師講述的課程非常清楚明瞭，讓我對AI有夠深入的了解。', '簡明易懂', '非常適合準備進入AI的新手', '適合對AI有興趣的新手們', '實用且淺顯易懂', '簡短的課程 卻涵蓋AI領域研究中重要的核心議題', 'priority 的基本概念', 'AI通識入門', 'AI不是取代，而是幫助', '課程淺顯易懂', '建議老師講解內容應有投影片等圖文資料協助學員聚焦及彙整', '清晰明瞭', '淺顯易懂，帶我們進入AI的敲門磚', '初階認識AI運作原理與架構', '簡而有力的AI入門課程', '對AI有更一步了解', '內容有點少', '通是很重要', 'AI的優質入門課', '在兩小時弄清楚AI的概念，這課太值得', 'AI思維通識課程', '內容如標題一樣', '適合職場新鮮人的第一堂課', '基本上很不錯 但希望有更深入一點的課程 ', '很棒！', '深入淺出了解AI的基礎想法與知識', 'AI產業化入門推薦課程', '老師上課淺顯易懂', '內容稍嫌單薄', '深入淺出', '太貴﹑這應該100~200差不多']","['踏入AI的領域前，是個不錯的通識課', '課程充實', '謝謝老師的用心說明', '對於初學者很容易且清楚了解AI內容', '老師很漂亮, 帶給我們AI的基礎觀念,很容易理解', '講師講解清楚，希望能再開設更深入有關深度學習的課程', '上完對AI有初步了解', '老師解說很清楚，對於新手可以認識AI基本背景。', '可', '講述簡明易懂，容易吸收，了解初步的AI', '老師坐著從頭講到尾，若只能紙上談兵的話至少多講幾個範例，演示一些熱門軟體，講一些市場上現有的AI產品的分析之類的。\n\n', '課程的目標、內容相當清楚，也對AI的延伸發展及應用講解得相當明白', '老師講解的很清楚 是個很好的入門課', '如果要再深度鑽研，有書籍可推薦的嗎', '老師講述的課程非常清楚明瞭，讓我對AI有初步的了解。', '非常有趣的課程內容。', '課程內容簡明易懂。適合想入門的人。', '上課內容沒有複雜的理論，都算是為剛進入AI的新手培養正確的AI觀念，非常淺顯易懂。', '課程的內容非常適合對AI有興趣，卻又不知道從何開始下手的新手們\n非常推薦給對這塊領域有興趣的同學們!!!', '淺顯易懂且實用的課程，適合新手甚至只著眼技術的資深人員，可從不同的角度來重新看待AI。', '課程精簡，每個章節與單元重點式的囊括了基本的AI價值與觀念。從基本AI的定義、AI的發展、AI與現今機器學習之間扮演的角色、常見的AI應用，以及不管在哪個行業，若要導入AI必須要注意的事情、可能會犯的誤區，透過實際的例子給予精闢的闡釋。', '學到為何要做AI以及如何選priority 的基本概念', '課程淺顯易懂，隨著內容同時也思考著如何帶入日常工作，建議可分享更多不同產業轉型的實例。', '我本身是在醫療業，在AI這個名詞開始出現時，其實我們很擔心，因為大量機器會取代我們。透過學習後，發現AI是一個協助我們更快速去完成工作的方式，透過AI這個大數據可以更有效率讓我們在篩檢上能夠減低錯誤率、失敗率。AI並非取代人類，而是協助人們在工作上更有效率。', '課程內容輕鬆，無須特別先備知識。\n', '老師講解清楚。但建議可增加或提供課程完整圖文重點資料，及參考推薦資源。', '非常棒的課程 ', '最後一句話，最讓我感同身受，＂踏出第一步是最難的＂．任何事情在踏出第一步所需要的學習對我來說真的很有難度，但是弔詭的是，在市面上的課程，似乎很少著墨在引人入門的第一步，感謝老師的這堂通識課，讓我這個大叔對現今新科技AI有第一步的認識．', '非常基礎的介紹課程,雖然有實務上的應用與分享案例,但教學內容上覺得仍不夠具體深入來探討,覺得有點可惜!', '內容簡潔有力，也很清楚/易懂。作業乍看之下雖然簡單，但從觀察自己的職場痛點到完成編輯，也花了快一個月。', '老師用淺顯易懂的方式引領進入AI世界，內容輕鬆簡單，建議製作團隊可以增加字卡或畫面輔助學習，謝謝！', '沒有預期的豐富', '好像有點懂了 XD', '以淺顯易懂的說明方式認識AI的原理和應用，非常適合不了解AI的人入門。', '老師除了漂亮，說話好聽之外，還能夠把導入AI需要自我檢查的步驟說清楚，實在是一門值得的課程。\n對於外行人來說，至少聽明白了基本的名詞定義，找出好的函數，避免類別重疊，優先處理市場成熟、任務難度低、開源程度高、資料已有不需要花額外成本的案子。幾個舉例都很淺顯易懂。收穫豐富。', '課程內容可以讓學員對於AI有基本的認識和了解，符合課程的設計理念。', '就只是門通識課，AI101，適合大學生和實習生，也許老師只是想試試水溫看看學員反應如何。\n', '整理口齒清晰，平易近人，但如果真得要到產業應用，則還需多方涉獵。', '內容很簡單 希望下次更有深度一點的課程 ', '實用！', '目前市面上的AI課程多是介紹如何用程式工具做出想要的AI效果，而這門課則是回到最源頭，帶大家思考到底希望AI帶給生活或產業怎樣的效果？這是一門相當值得參與的一門AI基礎課程！', '透過陳教授深入淺出的解說，輕易瞭解對自己產業或公司，應如何思考好的AI問題，也期待更深入及更多最新AI應用的教學。', '對於AI初學者相當有幫助。', '如能帶入神經網路的算法觀念會更好，不過就一門通識課，課程內容還是可以的', '這門課程真的讓我能加深了解AI的bottleneck 和如何運用AI. 如課堂所說, 當有足夠能力去寫AI, 但不知從何入手, 結果是會得不到成果.\n相反地, 如知道從何入手, 知道那一個部份可以先行,那一部份可以後行, 當做到一部份成果, 會有動力再繼續下去. ', '太貴﹑這應該100~200差不多']"
9,用 BIM 進行工程管理 | 提升營建控管效果,4.67,3,203,66,3600,"上完本堂課程後，您可以學習到：

1.　利用 Revit 軟體可以將手上的 BIM 模型產出 2D 剖面圖。

2.　將各系統模型匯入 Navisworks Manage 進行整合。在軟體中進行 3D 漫遊，及早發現各種空間排布問題，執行碰撞衝突檢查，並可直接在系統中指派修改及匯出碰撞報告。

3.　依每個工程項目施作的先後順序及工程成本等資料，在 Navisworks Manage 製作 5D 排程動畫。

如此一來，將能夠與現場人員、繪圖人員、業主更快速且溝通更順暢。
  
","['對於施工整合問題解析的非常清楚', '用 BIM 進行工程管理 | 提升營建控管效果', '需要有工程概念']","['講解的很清楚，期待更多相關的課程', '解說清晰\n流程詳實\n實際好用\n值得推薦\n', '適合進階學習者']"
