,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
0,台式冷便當｜不用蒸也能輕鬆帶的便當,4.75,8,171,264,1500,"1. 獨立完成多款冷便當，並學會變化的方法。
2. 用常見的烹飪技巧，變化多種料理菜色。
3. 學習到台灣常見食材的處裡與便當份量計算。
4. 學會至少 5 款為生活創造驚喜的活力冷便當。
5. 自己將能依照需求變化出不同的冷便當。","['很實用', '很實用', '很有趣，也很實用！', '對料理新手來說，很棒的課程', 'ok', '適合料理新手', '學到很多邊幫菜色製作方法', '深入淺出']","['學到蠻多料理小技巧\n希望可以更近距離拍攝\n老師料理及烹飪的過程的畫面', '每個單元都有幾個不同的食譜，可以任搭組合。', '對偶爾煮菜的我來說，這門課算是一個比較系統性的學習，學到很多，特別是老師口頭帶到的小訣竅（們）。滿喜歡（健身餐）的單元＆（睡過頭，偷吃步）的單元，會繼續把課堂教的菜色都盡量實作一遍，進而更找到自己的偏好和節奏。謝謝老師～～', '對於料理新手很實用，可以請老師再來開西餐課或日本料理課', '還不錯\n', '課程淺顯，可以供料理小白一些點子～但仍要實際練習才是重點！', '這堂課的課程簡介真的是簡介而已，對於想上課的同學會很猶豫要不要上這個課程，不知道報了可以學到甚麼？當我上完後，回頭看原來可以學到40道以上的家常料理，這些對於平常已經煮飯、做菜做到不知道要煮甚麼，是很實用的！建議課程介紹再詳細一些，讓有選課興趣的同學多了解內容。\n\n這堂課可以學到這些料理，\n料理基礎示範菜色：涼拌干絲、涼拌木耳、梅子番茄、胡麻醬拌牛肉、涼拌雞絲炸豬排、\n1.輕鬆無負擔養生便當：紫米飯、根莖類蒸食、煎豆腐+香菇、涼拌菠菜\n2.健身族高蛋白冷便當：芝麻煎雞胸肉、照燒鯛魚、煎杏鮑菇、水煮蛋\n3.小資女低卡輕盈冷便當：黎麥飯、起司鮭魚捲、五彩炸蝦\n4.小朋友也愛吃趣味冷便當： 造型熊熊飯、可愛蛋皮+章魚、迷你炸豬排、可樂餅\n5.假日出遊野餐網美冷便當：薑汁豬肉、飯捲玉子燒飯捲、串串蝦、熊熊造型豆皮壽司、麻糬吐司、雙色沙拉球\n6.冷便當就要醬子做-醬料教學：胡麻醬-胡麻醬烏龍冷面、和風醬-和風沙拉、梅子醬-香煎松阪豬佐梅子醬、甜豆腐乳醬-日式雞絲佐甜豆腐乳醬\n7.我也好想擺這麼美的便當-冷便當擺盤技巧：豆皮壽司、紫菜壽司、細捲壽司、軍艦壽司\n8.剩食傳說(剩菜的利用)：芋頭餅、芭娜娜黃金吐司、黃金鮭魚飯糰、泡麵綜合蔬菜煎餅\n9.便當輕鬆蒸，便當美味倍增：柴魚高湯、日式蒸蛋、海鮮蒸飯、鹹冬瓜燉肉\n10..偷吃步，睡過頭也可以帶便當：馬鈴薯燉肉、蒜香奶油金針菇\n以上的料理都是課程內可以學到的，課程的編排、剪輯更細緻一些，對於學習會有很大幫助。\n\n最後，課程一開始老師就直接上課，忘記自我介紹，老師經驗很豐富，上課很直覺，有學到東西。\n\n\n\n\n\n\n\n\n\n', '課程內容循序漸進\n便當彩色有創意配色漂亮\n獲益匪淺']"
1,實作「冬季甜點首部曲」DESSERT - WILLIAMS SONOMA,4.5,6,121,121,600,"蘭姆巧克力蛋糕Flourless Chocolate Torte、起司蛋糕Cheese Cake、舒芙蕾Grand Marnier Souffle、水果奶醬塔Fruit Tart

📍 特別提醒：此堂課程沒有附贈食譜檔案，老師將以影片呈現配方表","['高CP值的甜點課', '新知識', '蘭姆酒巧克力蛋糕', '建議有基礎的同學來上這堂課', '冬季甜點', 'practical and clear illustration']","['老師的授課講解仔細~也會不斷地貼心提醒小細節', '課程大綱不錯', '好好吃😋作法真的不難耶！一開始找不到配方克數有點失望，但很快的hahow團隊立馬幫我截圖附上，真心超感謝讓我真的品嘗到可口美味有附層次的蛋糕🍰', '這堂課多以實務操作為主，無法講解到細節，建議有基礎的同學來上這堂課，比較知道老師在課程中講解的一些手法想要表達的概念，當作再次進修。', '之前很想學此類的甜點製作\n終於有可以讓我有興趣的課程了\n雖然製作繁雜\n但是為了吃到好吃美味的甜品\n不管如何都值得', 'good']"
2,王嘉平的義大利餐桌：開胃菜到甜點一次上手,0.0,0,279,395,3600,"。做出一整桌從開胃菜到甜點的義大利饗宴來招待親朋好友。
。跟著主廚的示範說明學習義式料理的烹飪訣竅。
。對於義大利的飲食文化以及歷史脈絡有更多的暸解。
。在家中廚房也可以輕鬆完成專業餐廳等級的料理。
。做出比市面上 99% 餐廳更好吃的義大利料理。",[],[]
3,吃出甜甜台灣味：主廚Hank的茶 X 法式甜點,5.0,3,189,105,3880,"1. 精通四款經典法式甜點的製作
2. 了解如何將茶葉運用在甜點中
3. 學習製作水果內餡以及將水果融入甜點
4. 進階版慕斯蛋糕的製作與學習
5. 巧克力可塑與鏡面的製作
6. 甜點完成後的裝飾","['Very interesting 😁😁', '非常有趣，值得參加', '實用的食譜，期待挑戰慕斯蛋糕！']","['十分滿意！我有試煮給孩子吃，他們十分喜歡！', '教學內容有趣，甜點又有創意\n非常推薦給大家', '上週一直下雨就在家裡打開這個課程，選了食材最好買的檸檬蛋糕入手。\n第一天先做糖漬檸檬，沒有想像中困難。第二天把磅蛋糕做起來，加上前天的糖漬檸檬，很用心的做裝飾，拍照上傳FB很多朋友都說看起來十分專業！！！吃起來有濕潤口感，是我心目中完美的磅蛋糕～十分感謝HANK老師細心講解，像是「殺菁」這些小知識，之後可以應用的地方很廣，雖然自己烘焙也不算新手，但還是學到不少東西。\n現在很期待有空挑戰慕斯蛋糕（這種我沒做過），因為食材比較多，可能會去訂個食材包試試看。\n可能這個課程價錢不是最便宜，但我覺得學會了這幾個食譜以後自己可以變出很多甜點，算是十分值得！']"
4,威力｜法式常溫甜點的日常練習,0.0,0,253,18,2500,"🥨 易失敗原因整理
🥨 威力特製材料表
🥨 簡易做法流程圖
🥨 步驟順序差異解說
🥨 調整偏好比例教學
🥨 做出屬於自己的特殊口味",[],[]
5,零失敗！海頓媽媽的常溫甜點禮盒,5.0,29,368,734,2400,了解食譜配方的原理，了解食材特性，學會 26 種點心的製作方式。做出令人驚喜與特殊造型點心！可以獨立、也可以混搭組合做成鐵盒禮盒。上過這堂課融會貫通後，也能設計出自己的食譜配方喔！,"['只要學會一樣就值得了！', '實用、實在', 'value for money', '非常實用詳細的課程', '簡單易上手又變化多端的烘焙課', '課程超值，新手超適用', '餅乾', '適合新手，可塑性高', '海頓媽媽線上課程，對烘焙之路又進一層', '超值，吸收滿滿', '非常實用又有趣', '超棒超實用超詳細的課程', '課程超值，解說詳細，非常適合新手', '心靈成長與收獲滿滿', '推薦海頓媽媽的常溫甜點', '很棒的講課內容', '超級推薦課程－海頓媽媽的常溫甜點禮盒', '海頓媽媽療癒的常溫甜點之旅', '適合初學者', '超棒', '實用的線上課程', '有趣的親子課程', '好棒', '海頓媽的零失敗課程', '課程內容豐富', '教學仔細清楚', '收穫滿滿', '教學仔細', '食材介紹']","['超細心教學又好上手的課程，只要成功學會其中一樣點心就值得了！這絕對不只是食譜，是把所有製作時的大小事都說明教學，讓在家自製時遇到問題都能知道哪個環節出錯，能自己處理掉。超適合在家烘培！！！', '貼近家中烘焙', 'value for money', '課程詳細， 值得推介！', '海頓媽媽的課程步驟清晰，每個課程之間都有相關的脈絡，一步一步操作，一堂一堂進階，成就感也油然而生呢!:)', '海頓媽媽的每一堂課每一個步驟都非常詳細的解說，當已經漸漸成為老手的時候，其中的講解細節能讓你檢視自己的烘培作品，有哪些地方可以做調整，能讓烘培成品不但口感好吃，外觀也能更有吸引力。不論是新手老手，這門課都非常推推。', '雖然是線上課程，但不懂可以一直觀賞，沒空也可以等有空時再上課，這樣不會失去很棒的課程，我覺得很好值得推', '淺顯易懂非常適合居家新手。\n有很多居家製作小技巧，能確實提供成品的一致性與完整度。\n課程下來麵糰的配方及口感差異不大，但可塑性很好，若本身有一定程度，也可參考其中的塑型手法與創意發想，進而做出有自己風格的餅乾!\n推薦給對烘焙新手或對餅乾塑型有興趣的朋友們～', '自從買了一台烤箱之後，就展開自己的烘焙旅程，這是我這輩子從未料想到的一件事，竟然可以陷得這麼深，一開始靠著youtobe懞懂學習，直到遇上海頓媽媽，她的配方總是平易近人，沒有太多複雜的操作過程，就這樣，搭上了海頓媽媽線上課程這趟列車，讓我在烘焙餅乾這塊增添了不少的知識，就像擠花餅乾，我從不會想去嘗試，但從課程影片中知道，其實擠花並沒那麼困難，多練幾次，這技巧可以應用在很多用途上，今天看到自己的成品出來，有著莫名的開心，雖然它不是很完美，不過，上完這課程可是收穫滿滿，很期待海頓媽媽還能再開另一課程，期待。', '這是我第一次參加烘焙線上課程（今年6月因為疫情嚴重才開始玩烘焙），課堂上學到了好多小細節也吸收了許多相關知識，跟著海頓媽媽的步驟做了許多可愛又好吃的餅乾，自己看了都超開心也很捨不得吃，這些課程讓我收穫良多。', '以前也做過好幾次餅乾，喜歡什麼食譜就做什麼，覺得缺乏系統性的了解。海頓媽媽循序漸進教了好幾種基礎餅乾的作法，不但造型都很可愛漂亮，基礎學會以後就能自己做出更多變化，真的是很實用啊～～～最物超所值的是海頓媽媽會分享一些個人小技巧，在製作上很有幫助！感謝海頓媽媽的課程，收穫良多～～', '這門課程非常清晰易懂，當成親子DIY的烘焙課很適合\n今年的禮盒多虧老師的指導，大成功', '海頓媽媽教學過程很詳細，步驟解釋得很清楚，雖然自己已經做過很多次餅乾，還是覺得有學到一些小技巧，餅乾看起來很簡單，只是自己看食譜做也很容易失敗，看了教學會有一點原來如此的感覺，影片中海頓媽媽用在家製作的環境呈現覺得很有親切感，因為我也是那種可以少洗鍋子的人，跟我在家製作的時候一模一樣！謝謝海頓媽媽的課程，課程覺得很超值！做出來的餅乾有升級的感覺，家人也覺得可愛又好吃！接下來想做自己的鐵盒餅乾，再跟海頓媽媽分享❤', '一直以來都很喜歡烘焙，也自己動手做了各種不同的餅乾、蛋糕、麵包等品項，但一直沒有上過烘焙課，所以覺得有好多原理及應用方法等都不了解，透過海頓媽媽的線上課程，學習到很多基礎技巧與知識，對於烘焙上會出現的問題也有更深的了解，很開心有這樣的課程可以自學，也很享受課程中老師所傳遞的烘焙樂趣😊😁', '很貼心很細心地解說，對新手的我很開心能學習海頓媽媽的常溫甜點課程，謝謝', '海頓媽媽的講課方式很細心，幾乎每個重點都說到了，餅乾製作也淺顯易懂，希望可以出續集，不過我私心想要學多種樣式的公主造型餅乾', '課程中，老師的教學詳細且傳授很多實用的技巧。\n讓做餅乾變得簡單不複雜，又有趣。\n非常謝謝老師開了線上課程，獲益良多。', '第一次嘗試線上烘焙課程，而海頓媽媽的課程內容很豐富且實用，讓學習者能輕易上手。', '我覺得課程豐富有趣又容易上手，真的很好玩！', '很用心很好懂', '老師講解詳細，課程內容很豐富及實用，曲奇造型很漂亮有趣，也很容易做，看過做法後，令新手的我也有了信心去試做。', '幾次有疑惑時，老師都很細心地回答我的問題。謝謝您設計這麽有趣的課程，為孩子們和我增添許多快樂的時光。', '很多小細節都有講到！超級詳細！\n希望做的時候順利(*´∀`)♪', '海頓媽真的很用心，課程內容豐富，實用！講的很清楚明瞭！引領大家對烘焙的興趣與信心！對烘焙愛好者分享多年的經驗與體證！\n能將手作的甜點與愛心傳播給家人朋友，及守護生命的第一線醫護人員。\n愛與善的正能量，\n獲益良多，無限感恩！', '課程內容非常豐富,老師的教學講解仔細,步驟容易好操作,上了老師的課後發現其實餅乾要注意的眉角也是很多的,非常謝謝老師開了線上課程,讓我從中獲得很多的收穫和學習可以運用的小技巧~~~~希望疫情趕快過去,這樣就可以上和老師面對面的實體課程了! ^O^', '老師每一款餅乾的製作過程都講解的非常清楚，連切片餅乾也繪圖講解，一看就很明白！\n有幾款餅乾是沒接觸過的，有時間再跟著老師做做看。謝謝老師❤️\n', '首先，很感謝老師用心的錄製這次的餅乾課程，讓本來還在烘焙游走的我更增加了一些功力，更學到了一些餅乾該注意的細節及技巧，其中大力讚嘆的是，老師教我們從生活中隨手可取得的工具就能輕鬆使用，不必花大錢，光是這點就非常的棒了，謝謝老師及hahow團隊，網頁設計及操作都蠻順手的，希望推薦給大家👍', '老師課程講解非常清楚 ，小細節也都會解釋到 ，還分享很多實用的小技巧 ，真的受益良多。', '太詳細了!\n幾乎所有細節都介紹到了，讓我很清楚地知道去那兒找到材料。']"
6,五星級法式經典甜點在家做,4.88,8,180,119,2880,"【法式檸檬塔、生巧克力塔、輕乳酪塔、蒙布朗、香芋蒙布朗、金磚費南雪、法式千層酥、巧克力千層酥、蝴蝶酥】在家就能成功完成九款五星級法式經典甜點！
如果你是烘焙初學者，可以學習到基礎的塔皮、鮮奶油及卡士達製作，在家自己做出好吃的甜點；
如果你是烘焙熟手，可以學到法式甜點的裝飾（如：巧克力裝飾片、檸檬塔上的義式蛋白霜擠花技巧）以及如何調整食譜比重得到希望的口感！","['好吃的食譜配方', '課程很棒', '課程很棒', '說明得很清楚，但食譜要在網頁版才可download ', '老師的解說清楚詳盡 食譜設計很厲害', '意外發現 顏值以外 這課蠻適合反覆看的', '食譜卡很詳盡,口味真的有五星級', '配方很厲害新手做很也OK']","['影片教學還是有很多細節無法跟實體課程有人在旁邊教跟看一樣，材料操作要到什麼程度，實作上的技巧，對新手來說要多做幾次才能掌握。', '課程很棒，老師講的很詳細，很清楚', '老師教得很詳細，真的在家可以做成好吃又好看的成品！', '非常清晰', '課程安排很用心，先從基本須知講起，再逐步進入每一個品項的做法；而且老師的解說很詳盡，還會隨時提醒一些注意事項和小祕訣，很貼心！', '原本以為是一般列步驟 把食譜上的動作照做的課程\n實際一段一段看下來 老師除了 動作一一講解得清楚以外 還會不時的碎唸出一些眉角\n對於初學者而言 第一次可能需要消化一下\n一個段落多看幾次 可以發現 以前沒注意到的小細節\n\n雖然 目前家裡工具還沒有這麼多 可能要找一找取代工具\n一定會想辦法做出一兩個 跟老師一樣的作品 再來創意發想一下！\n中秋節 感覺可以來個柚子塔！！！', '目前做了乳酪塔,在內餡就開始瘋狂試味道(偷吃),塔皮有餅乾感~也很好吃\n食譜很詳盡,可以先看影片再拿著食譜做就成功了\n要做之前要先計算一下冰冰箱時間\n才不會耽誤甜點上桌時間XD', '老師每個步驟都講解的蠻細的(不藏私甜點師)讓我這個手殘新手也可以安心學習!\n身邊烘焙熟手吃了我的作品都說老師的比例很強!']"
7,黃威達｜17 道在地農產 x 日本名店甜點,0.0,0,189,35,3880,"➤ 17 道人氣甜點配方與製作流程
➤ 8 款百變餡料抹醬製作，自由變化口味
➤ 全品項電子食譜，重點不遺漏
➤ 精準掌握材料比例，隨心變化不同口感
➤ 結合在地食材，享受四季的豐饒美味
➤ 甜點安全包裝訣竅，贈禮心意不打折
➤ 學員專屬 FB 社團，課後問答細心解惑，沒有距離",[],[]
8,黃威達｜學會烘焙名店15款日式經典乳酪甜點,0.0,0,337,34,3280,"🧀 在烘焙實作面
- 掌握職人烘焙的秘密
- 了解各種乳酪的特性
- 熟悉配方比例與變化
- 解決烘焙常見的問題
- 學會健康的無麩蛋糕

🧀 在器具應用面
- 活用你身邊每台烤箱

🧀 在接單開店面
- 選用好看的質感包裝
- 烘焙名店的強力行銷",[],[]
9,超滿足！王師傅的元氣料理,4.56,9,32,115,299,五種經典的日式料理，包括炸蝦丼、日式紅燒魚、親子丼、涼麵和花壽司等，同時學會處理食材的祕訣。,"['有關日式紅燒魚', '課程很好, 但為何沒有提供食譜 ?', '簡單又實用的菜單', '炸蝦🍤', '五顆星，贊👍', 'ok', '秘訣', '節奏明快的課程', '受益良多']","['老師說什麼魚都可以，但是想知道老師一般以什麼魚下去料理？', '課程很好, 但為何沒有提供食譜 ?', '原來日式料理也可以這麼簡單，單純吃出食物的原味，簡單容易備料，可以做成小家庭平時的午晚餐', '沒想到這麼好吃的東西，被師傅操作的這麼簡單，一口氣學完，晚上立馬大顯身手來用給孩子和老公吃，好期待不知道自己是否會成功😆\n這幾道真的是媽媽們的救星，食材容易取得料理不繁雜，短時間就可以有美味佳餚，值得推薦❤️', '老師解釋清楚，做法簡單，很容易上手。', '還不錯', '真得說很仔細，淺顯易懂', '簡單易懂，節奏明快，喜歡這樣的上課方式。', '受益良多']"
