,評論標題,評論內容
0,希望有新的版本,比較好自學
1,學到很多,我們在4月底前會全部更新到最新版本，再請等我們一下下：）
2,課程內容老舊操作畫面與實際目前版本差異很大,都很好
3,對非本科初學者蠻有幫助,"課程內容老舊操作畫面與實際目前版本差異很大,花很多時間 停滯在找目前版本與課程內容差異,對個人而言,效果不是很好"
4,課程版本過時不適合新手,"非常謝謝同學的建議與說明，帶給你如此不良的上課體驗我們深感抱歉，未來開發新課程時也會留意這樣的狀況。
程式開發與科技產品日新月異，隨著新的 mac 與 iPhone 不斷推陳出新，iOS 的開發過程亦是如此，藉此讓開發者能更為方便輕鬆。
然而購課同學以及你所遇到的問題，我們皆已盡快提供最新解決方法或參考程式。還是造成你的不佳體驗，再次抱歉。"
5,很好理解,"可以大致理解邏輯，再去深入
透過簡易實作再帶到觀念和用法"
6,課程完整,陸續更新中
7,對初學者或剛入門的人很有幫助,內部人員自評，以提醒購課前詳加閱讀說明：）
8,內容豐富實用,很好理解，但希望有更新版本的教學
9,如同課程名稱可以快速了解ios軟體開發過程,希望課程對你有幫助，我們會在接下來將近半年時間內陸續更新的
10,非常棒的課程~對於初學者也不會覺得學習痛苦,讚
11,快速學習ios第一品牌,因為系統會一早信件通知，有時候看到會疏忽。我們會儘早回覆問題的，謝謝
12,簡單扼要，初學者友善,簡單的實作能夠帶到很多觀念和用法
13,很接地氣的課程,內容豐富實用
14,挺不錯的,"買這堂課程純粹是因為想試著學好手機開發程式，運用在自己的專業上。
過去曾看書自學java，沒有多久就放棄了。
也許因為我是文科出身，以為只要光看書就能學好一個技能。

但實際透過這套課程，跟著老師邊打code邊理解ios程式語言，讓我增加了不少自信。
非常值得推薦！"
15,快速上手有幫助,"之前看到您的回饋，事後一忙忘記回覆，今天重新整理時又再度看到。
非常感謝您的建議，這的確是我們在授課時，會不小心沒注意到的部分，我們也將繼續設計更容易讓觀看者更容易吸收的呈現方法，以及在內容上，不受語言隔閡，連中學生都能理解的課程。"
16,這個課程太棒了,因為本身是網頁設計師，對於ios APP開發非常有興趣，終於找到一個適合自己的課程，從基本架構到草稿到進階都非常清楚!很推薦有興趣的朋友來上這門課，價格不貴，又可以獲得很多!
17,Ios 開發教學,"本身是web.react-native的開發者,最近由於公司專案需求需要撰寫原生ios,
看了課程也順利將問題排除,也很快速理解ios開發的流程以及swift語言的特性.

對於想入門IOS的同學最讚的選擇!"
18,很清楚的課程,"謝謝您的建議與鼓勵。
最近的確有打算推出新的更新課程，並且針對新版的 swift, swiftUI, Firebase 以及 App lifecycle 等內容更新，並完成新的App，因此到時候也會增加一些內容在目前的課程，提醒同學新版的注意事項（或是直接購買新版課程XD），唯獨Hahow這邊的課程開發有其限制，需要通過審核字幕製作等過程，會花費比較多時間（之前有更新過Firebase 就花費不少時間）

另外關於SwiftUI與傳統Storyboard的差別，新學的或是需要多人共同開發的，會建議可以直接學習SwiftUI，Storyboard的好處就是圖形界面，但是相對在重複使用物件與多人開發上會有許多問題。SwiftUI遇到問題就是舊的開發案可能還沒這麼快更上，但是我相信是未來趨勢，也會有越來越多的資源。因此可以的確可以花時間學一學的"
